artist,career_span_years,avg_chart_rank,total_weeks_on_chart,grammy_wins,grammy_nominations,avg_danceability,avg_energy
Justin Bieber Featuring R. Kelly,0,54.0,1,0,0,,
Intro,2,58.65,214,0,0,,
Bailey Zimmerman & The Kid LAROI,0,86.0,1,0,0,,
Hinder,3,41.82,810,0,0,,
Rej3ctz,0,97.0,1,0,0,,
Neil Sedaka & Dara Sedaka,0,45.95,189,0,0,,
The Kenny Wayne Shepherd Band,0,87.2,54,0,0,,
Manfred Mann,5,32.27,289,0,0,,
Buster Poindexter & His Banshees Of Blue,1,66.54,90,0,0,,
Ricky Martin Duet With Christina Aguilera,0,36.9,209,0,0,,
Mott the Hoople,2,60.57,67,0,0,,
Paul Mauriat,1,80.25,35,0,0,,
Jim Gilstrap,0,82.15,84,0,0,,
Florence + the Machine,5,76.72,398,0,0,,
Manuel Turizo,1,82.81,214,0,0,,
Glee Cast Featuring Olivia Newton-John,0,89.0,1,0,0,,
Bob Luman,0,33.5,104,0,0,,
Chris Columbo Quintet,0,94.0,1,0,0,,
Tee Grizzley & J. Cole,0,88.0,1,0,0,,
Roberta Flack & Donny Hathaway,1,40.26,187,0,0,,
Cheap Trick,12,53.49,1583,0,0,,
Lou Christie,11,51.68,568,0,0,,
Bad Bunny| Jowell & Randy & Nengo Flow,0,88.86,24,0,0,,
6ix9ine & Nicki Minaj,0,43.0,9,0,0,,
Swirl 360,0,62.91,65,0,0,,
Jay-Z Featuring Beyonce Knowles,1,16.48,275,0,0,0.746,0.894
2 In A Room,4,55.32,272,0,0,,
ScHoolboy Q Featuring 21 Savage,0,67.0,1,0,0,,
Gene Autry & The Pinafores,7,31.72,338,0,0,,
Modjo,0,90.26,189,0,0,,
Lindsey Stirling,0,81.0,1,0,0,,
Montell Jordan Featuring Slick Rick,0,51.85,209,0,0,,
Kanye West Featuring Teyana Taylor| Nicki Minaj & Bon Iver,0,60.0,1,0,0,,
Rufus & Carla,0,92.67,2,0,0,,
Fox,0,73.75,35,0,0,,
Zedd| Maren Morris & Grey,0,18.48,819,0,0,,
David Archuleta,1,31.93,275,0,0,,
Mariah Carey Featuring Snoop Dogg,6,73.58,41,0,0,,
A Boogie wit da Hoodie Featuring Juice WRLD,0,93.0,5,0,0,,
Boston Pops Orchestra / Arthur Fiedler,0,62.33,20,0,0,,
Post Malone Featuring G-Eazy & YG,0,59.67,5,0,0,,
B-Rock & The Bizz,0,42.58,189,0,0,,
Niko Moon,1,59.76,322,0,0,,
The Chi-lites,6,59.19,769,0,0,0.704,0.786
Alvin Cash,0,79.4,14,0,0,,
Mark Valentino,1,52.22,44,0,0,,
Ronnie Carroll,0,94.75,9,0,0,,
Kanye West Featuring Cam'ron & Consequence,0,18.0,1,0,0,,
Bobby Valentino,0,45.44,356,0,0,,
Chris Brown Featuring Justin Bieber & Ink,0,67.0,1,0,0,,
Pat and the Satellites,0,89.75,9,0,0,,
Korona,0,61.5,35,0,0,,
Bob Braun,0,55.7,54,0,0,,
Chris Cuevas,0,73.45,65,0,0,,
Rauw Alejandro & Feid,0,88.0,1,0,0,,
Anuel AA & Ozuna,0,100.0,1,0,0,,
Shakira Featuring Lil Wayne,1,51.91,65,0,0,,
Key Glock & Young Dolph,0,90.0,39,0,0,,
Maggie Bell,0,98.33,5,0,0,,
Zac Brown Band Featuring Jimmy Buffett,0,34.95,209,0,0,,
Robin George,0,92.5,2,0,0,,
T.O.K.,1,92.47,64,0,0,,
Ozuna x Karol G x Myke Towers,0,87.1,54,0,0,,
The 4 Seasons Featuring Frankie Valli,0,84.57,27,0,0,,
HARDY Featuring Morgan Wallen,0,64.0,1,0,0,,
Nelly Featuring Jaheim,0,18.85,209,0,0,,
Commander Cody,3,84.28,61,0,0,,
Barry Young,1,40.91,65,0,0,,
Hey Violet,0,78.2,14,0,0,,
Metro Boomin & Gunna,0,66.0,1,0,0,,
Debbie Dovale,0,93.25,9,0,0,,
Kid Ink Featuring Chris Brown,2,49.77,702,0,0,,
Elvis Presley With The Jordanaires and The Imperials Quartet,0,46.88,35,0,0,,
Barbra Streisand & Bryan Adams,1,29.75,209,0,0,,
Camila Cabello Featuring DaBaby,1,31.0,377,0,0,,
Re-flex,1,59.24,239,0,0,,
Slick Rick,0,93.33,5,0,0,,
Pat Lundi,0,88.4,14,0,0,,
Lee Michaels,1,35.69,196,0,0,,
Kesha Featuring The Dap-Kings Horns,0,96.0,1,0,0,,
Counting Crows Featuring Vanessa Carlton,0,51.05,209,0,0,,
Loose Ends,0,63.0,54,0,0,,
Vince Guaraldi Trio,63,51.81,185,0,0,,
The Castaways,0,42.21,104,0,0,,
Martin Page,1,44.14,656,0,0,,
Young Money Featuring Lloyd,1,14.56,324,0,0,,
Wyatt (Earp) McPherson,0,98.5,1,0,0,,
The Game Featuring Jeremih,0,88.6,12,0,0,,
Les Cooper and the Soul Rockers,1,40.31,133,0,0,,
Kai Winding & Orchestra,0,35.87,119,0,0,,
Peter Skellern,1,67.38,35,0,0,,
Carl Butler & Pearl,0,93.0,1,0,0,,
Major Lazer X DJ Snake Featuring Mo,1,26.63,1175,0,0,,
The Searchers,7,50.9,468,0,0,,
Ecstasy| Passion & Pain Featuring Barbara Roy,0,99.0,2,0,0,,
Kanye West| Jay-Z| Big Sean,1,23.68,252,0,0,,
Josh Kaufman,0,81.5,1,0,0,,
Isley| Jasper| Isley,1,70.1,131,0,0,,
The Miracles,17,48.89,1525,0,0,0.568,0.5175
The Vejtables,0,86.0,9,0,0,,
Chance the Rapper Featuring Death Cab for Cutie,0,95.0,1,0,0,,
Clipse Featuring Kendrick Lamar,0,64.0,2,0,0,,
Grey & Hanks,0,83.5,2,0,0,,
Joyner Lucas & Jelly Roll,0,93.0,1,0,0,,
Lil Baby & Lil Durk,0,66.41,12,0,0,0.771,0.409
Magic Lanterns,1,51.33,77,0,0,,
Labrinth & Zendaya,0,79.5,9,0,0,,
Pusha T Kanye West,0,89.0,1,0,0,,
Tony Burrows,0,89.25,9,0,0,,
Lil Durk & Chief Wuk,0,67.0,1,0,0,,
N-Trance,0,73.18,152,0,0,,
2 Chainz Featuring YG & Offset,0,97.5,2,0,0,,
B.o.B Featuring Rivers Cuomo,0,38.1,207,0,0,,
Brooke Hogan Featuring Paul Wall,0,58.29,140,0,0,,
Pitbull Featuring Akon,1,69.71,104,0,0,,
Sunshine Anderson,0,35.9,209,0,0,,
The Easybeats,2,44.27,104,0,0,,
Al Casey Combo,0,85.25,20,0,0,,
Kaoma,0,67.67,77,0,0,,
Polo G Featuring DaBaby,0,85.0,1,0,0,,
Lil Baby & Drake,0,21.34,434,0,0,,
Nicki Minaj & Skillibeng,0,100.0,1,0,0,,
Split Enz,0,72.55,65,0,0,,
Cathy Carr,0,60.25,86,0,0,,
David Hallyday,4,76.69,74,0,0,,
Yahritza y Su Esencia x Grupo Frontera,0,79.81,135,0,0,,
Tommy Conwell And The Young Rumblers,1,74.33,92,0,0,,
Dean Friedman,0,48.73,252,0,0,,
The 1975,1,91.57,18,0,0,,
Ryan Cabrera,1,41.81,598,0,0,,
Barry Gibb,0,56.3,54,0,0,,
Shabba Ranks Featuring Patra And Terri & Monica,0,89.0,2,0,0,,
A$AP Rocky Featuring Drake| 2 Chainz & Kendrick Lamar,1,31.78,377,0,0,,
B*Witched,0,54.87,146,0,0,,
KC,1,45.81,230,0,0,,
George Torrence & The Naturals,0,91.0,2,0,0,0.76,0.567
The Irish Rovers,0,55.25,118,0,0,0.44,0.359
Bea Miller,0,78.0,1,0,0,,
Gary Allan,13,63.67,1824,0,0,,
B2K & P. Diddy,1,16.73,252,0,0,,
Joe Hinton,1,47.63,82,0,0,,
Kodak Black Featuring Lil Pump,0,88.0,1,0,0,,
Lil Wayne Featuring Bobby Valentino & Kidd Kidd,1,27.09,252,0,0,,
Luke Bryan,18,56.83,5605,0,0,,
Crawler,0,75.0,27,0,0,,
Kristen Bell & Idina Menzel,0,73.26,189,0,0,,
Wale Featuring Lil Wayne,0,100.0,1,0,0,,
Sean Kingston Featuring Nicki Minaj,0,51.25,209,0,0,,
Cash Money Millionaires,1,66.92,90,0,0,,
Juliana Hatfield,0,90.17,20,0,0,,
Or-N-More (Featuring Father M.C.),0,65.13,35,0,0,,
3LW Featuring P. Diddy & Loon,0,75.29,104,0,0,,
Ariana Grande Featuring Future,0,72.57,27,0,0,,
Little Esther Phillips,0,67.0,14,0,0,,
Gardner Cole,0,92.67,5,0,0,,
Was (Not Was),1,46.54,307,0,0,,
Charlie Drake,0,44.67,77,0,0,,
Jaye P. Morgan,1,77.18,54,0,0,,
Smooth,3,70.88,187,0,0,,
Pages,0,86.0,5,0,0,,
The Soulful Strings,0,73.4,14,0,0,,
The Esquires,2,46.71,168,0,0,,
Kyu Sakamoto,0,32.7,124,0,0,,
Meek Mill Featuring Swizz Beatz,0,73.0,1,0,0,,
L.F.O. (Lyte Funky Ones) (Featuring Kayo),0,81.25,9,0,0,,
Jake Holmes,0,64.27,65,0,0,,
Mustard Featuring Nav| Playboi Carti & A Boogie wit da Hoodie,0,90.17,16,0,0,,
Hustle Gang Featuring T.I.| B.o.B| Kendrick Lamar & Kris Stephens,0,93.0,2,0,0,,
K'Naan,1,89.71,25,0,0,,
Freeway Featuring Peedi Crakk,0,97.67,5,0,0,,
Juice WRLD,7,54.43,2155,0,0,,
Jocelyn Enriquez,3,70.0,549,0,0,,
The Shocking Blue,1,41.54,145,0,0,,
Trina & Tamara,0,71.75,77,0,0,,
Landon Pigg,0,94.0,2,0,0,,
Holland-Dozier,1,71.88,74,0,0,,
Nicky Jam X Ozuna,0,95.17,20,0,0,,
Zach Bryan Featuring John Moreland,0,83.0,1,0,0,,
LL Cool J Featuring The-Dream,0,66.91,65,0,0,,
Houston Featuring Chingy| Nate Dogg & I-20,0,26.85,209,0,0,,
Eminem Featuring P!nk,0,62.0,1,0,0,,
Eric Burdon And War,1,45.52,265,0,0,,
The Velvelettes,1,67.36,55,0,0,,
Metro Boomin & Coi Leray,0,65.5,9,0,0,,
Linda Laurie,0,66.78,44,0,0,,
Clubland Featuring Zemya Hamilton,0,93.75,9,0,0,,
Saving Jane,0,57.1,209,0,0,,
Meek Mill Featuring Quavo,0,84.0,1,0,0,,
Oxo,0,48.64,104,0,0,,
Dean Martin & Sammy Davis Jr.,1,95.0,5,0,0,,
The Sunrays,1,64.5,91,0,0,,
T-Pain Featuring Rick Ross,0,89.0,1,0,0,,
Meghan Trainor Featuring John Legend,1,33.38,779,0,0,,
Lulu And The Luvers,3,95.83,16,0,0,,
Bobby Powell,2,84.3,32,0,0,,
Herb Alpert And Tijuana Brass,1,27.71,104,0,0,,
Peter Cetera & Crystal Bernard,0,91.13,35,0,0,,
Drake Featuring Chief Keef,0,57.5,2,0,0,,
Voyce,1,84.77,90,0,0,,
Nicki Minaj Featuring Skylar Grey,1,78.17,16,0,0,,
Young Dro Featuring T.I.,0,31.95,209,0,0,,
The McCrarys,0,64.5,35,0,0,,
Charli xcx With Lorde,0,81.0,2,0,0,,
Chiddy Bang,1,95.0,1,0,0,,
Lee Allen And His Band,0,92.0,1,0,0,,
Brooks O'Dell,1,68.89,44,0,0,,
Thurl Ravenscroft,5,38.0,53,0,0,,
Gene Chandler,17,59.58,779,0,0,0.719,0.599
Giorgio Moroder (Featuring Paul Engeman),0,87.5,9,0,0,,
Zombie Nation,0,99.0,2,0,0,,
Jerry Jaye,0,47.89,44,0,0,,
BTS Featuring Lauv,0,85.5,1,0,0,,
Nicki Minaj Featuring The Weeknd,0,98.0,1,0,0,,
The Dovells,2,44.07,469,0,0,0.616,0.328
Alexandra Stan,0,42.0,209,0,0,,
Little Jimmy Dickens,0,42.2,54,0,0,,
Phil Vassar,8,66.6,1268,0,0,,
Odyssey,1,51.38,216,0,0,,
Nonchalant,0,54.55,209,0,0,0.629,0.531
Bad Bunny X Anuel AA,0,97.0,1,0,0,,
Barry Manilow with Kid Creole & The Coconuts,0,92.5,2,0,0,,
Summer Walker Featuring Jhene Aiko,0,81.67,5,0,0,,
Shorty Long,2,43.06,74,0,0,,
Kenny Chesney With Dave Matthews,0,58.75,135,0,0,,
Polo G,3,62.18,441,0,0,0.796,0.7935
Devone,0,83.67,44,0,0,,
England Dan & John Ford Coley,4,42.63,1011,0,0,,
Shawn Phillips,0,77.56,25,0,0,,
Elephant's Memory,0,64.5,104,0,0,,
Jimmy Darren,0,59.7,112,0,0,,
Rae Sremmurd Featuring Nicki Minaj & Young Thug,0,57.75,209,0,0,,
Hannah Huston,0,94.0,1,0,0,,
Andru Donalds,1,63.26,189,0,0,,
Young Thug Featuring Travis Scott,0,97.0,1,0,0,,
SleazyWorld Go Featuring Lil Baby,0,57.25,209,0,0,,
Max-A-Million,1,77.5,495,0,0,,
Gene Redding,0,57.13,135,0,0,,
Nancy Martinez,1,58.05,230,0,0,,
Layton Greene| Lil Baby| City Girls & PnB Rock,1,73.07,119,0,0,,
Eddie Cochran,1,50.38,256,0,0,,
Valadiers,0,91.0,2,0,0,,
Martha Reeves,0,82.8,14,0,0,,
Willie Henderson And The Soul Explosions,0,91.0,2,0,0,,
Lulu with The Dixie Flyers,0,61.17,20,0,0,,
Lonzo And World Class Wreckin Kru,0,90.27,65,0,0,,
Tasha Holiday,0,94.6,14,0,0,,
Cory Daye,0,80.0,5,0,0,,
Ruby Winters,0,98.5,4,0,0,,
Stories,1,41.76,282,0,0,,
Crooklyn Dodgers '95,0,98.0,2,0,0,,
J-Kwon Featuring Sadiyyah,0,75.29,27,0,0,,
Funkmaster Flex Featuring DMX,0,93.57,27,0,0,,
Ricky Martin Featuring Meja,0,76.2,14,0,0,,
Pharrell Williams & Travis Scott,0,88.0,1,0,0,,
Trick Daddy Featuring Trina,0,78.1,209,0,0,,
Rhythm Syndicate,1,50.44,311,0,0,,
Martha Davis,1,89.63,35,0,0,,
JACKBOYS Featuring Young Thug,0,67.41,241,0,0,,
Dukays,0,85.83,14,0,0,,
Blackstreet With Janet,0,63.36,65,0,0,,
Jon Butcher Axis,0,95.33,5,0,0,,
The Red Clay Strays,2,90.76,114,0,0,,
702,4,31.09,1397,0,0,,
Yo Gotti,9,91.63,18,0,0,0.698,0.783
The Young Holt Trio,1,58.88,35,0,0,,
Timbaland Featuring Justin Timberlake,3,30.33,350,0,0,,
Lil Wayne Featuring Snoop Dogg,0,39.0,1,0,0,,
Julie,0,94.25,9,0,0,,
The Records,0,72.17,20,0,0,,
The James Boys,0,84.0,9,0,0,,
Percy Mayfield,0,99.0,1,0,0,,
American Flyer,0,86.5,9,0,0,,
Innerlude,0,97.5,2,0,0,,
Hudson and Landry,1,64.15,124,0,0,,
Fabu,0,92.5,2,0,0,,
Fred Parris & The Five Satins,0,76.6,14,0,0,,
JVKE,1,42.58,560,0,0,,
Ed Sheeran Featuring Lil Baby,0,60.2,119,0,0,0.656,0.386
Tammy Cochran,0,88.09,65,0,0,,
Jamie Foxx Featuring Chris Brown,0,95.5,2,0,0,,
2 Chainz Featuring Ty Dolla $ign| Trey Songz & Jhene Aiko,0,60.75,209,0,0,,
Myke Towers & Juhn,0,86.43,27,0,0,,
DaBaby Featuring Lil Baby & Moneybagg Yo,1,66.62,85,0,0,,
Cinderella,5,55.47,897,0,0,,
Ed Sheeran With Chris Stapleton & Bruno Mars,0,66.5,2,0,0,,
Blackstreet (Featuring Dr. Dre),1,15.87,495,0,0,,
The Ivy League,0,89.6,14,0,0,,
Apocalyptica Featuring Adam Gontier,1,88.81,135,0,0,,
Jack Eubanks,1,93.2,6,0,0,,
Enrique Iglesias Featuring Descemer Bueno| Zion & Lennox Or Sean Paul,0,93.11,30,0,0,,
Shakira Featuring Freshlyground,0,65.83,152,0,0,,
V,2,72.75,1,0,0,,
Feather,0,81.6,14,0,0,,
P. Diddy & Ginuwine Featuring Loon| Mario Winans & Tammy Ruggeri,0,18.0,350,0,0,,
Jay-Z| Rihanna & Kanye West,1,19.04,275,0,0,,
Gene Thomas,3,81.08,36,0,0,,
Bryson Tiller Featuring Drake,0,48.0,1,0,0,,
The Game Featuring Junior Reid,0,86.4,119,0,0,,
The Marmalade,0,41.13,154,0,0,,
Enrique Iglesias Featuring Juan Luis Guerra,0,95.4,14,0,0,,
G-Eazy & Halsey,1,21.16,205,0,0,,
Playboi Carti & Future,0,46.0,1,0,0,,
Jordan Adetunji,0,40.57,230,0,0,,
Lil Wayne Featuring Travis Scott,0,38.5,2,0,0,,
Isyss,1,85.17,77,0,0,,
Geto Boys,2,54.86,328,0,0,,
Anna King-Bobby Byrd,0,59.67,20,0,0,,
Flavor,0,97.4,10,0,0,,
The Platters,9,52.26,1022,0,0,,
The Danleers,0,33.29,35,0,0,,
Oscar Maydon & Fuerza Regida,1,58.6,190,0,0,,
A Great Big World Featuring FUTURISTIC,0,99.5,1,0,0,,
Julio Iglesias And Willie Nelson,0,37.76,230,0,0,,
Dynasty,0,91.5,20,0,0,,
Rhinoceros,0,61.9,54,0,0,,
Jay Sean Featuring Sean Paul & Lil Jon,1,23.25,209,0,0,,
Zach Bryan Featuring Bruce Springsteen,0,85.5,2,0,0,,
Every Mothers' Son,1,47.7,153,0,0,,
Snoop Dogg Featuring Mystikal And Fiend,0,77.58,77,0,0,,
Roger Daltrey,13,70.67,451,0,0,,
Crazy Elephant,0,38.15,90,0,0,,
Lunay| Daddy Yankee & Bad Bunny,0,77.82,152,0,0,,
Ashton Shepherd,0,95.0,1,0,0,,
YNW Melly Featuring Lil Uzi Vert,0,78.0,1,0,0,,
Bob McGilpin,0,93.6,14,0,0,,
K5,0,98.33,5,0,0,,
Chi Coltrane,0,37.0,90,0,0,,
Bobby Pedrick| Jr.,0,86.0,9,0,0,,
Meek Mill Featuring Ella Mai,1,80.58,185,0,0,0.815,0.617
Kelsea Ballerini x Halsey,0,95.0,1,0,0,,
Drake Featuring Future & Young Thug,1,22.35,209,0,0,,
David Banner Featuring Lil' Flip,0,70.45,209,0,0,,
G-Wiz,0,84.36,65,0,0,,
Kym Sims,1,60.92,223,0,0,,
Marques Houston,4,71.89,151,0,0,,
Plies Featuring Chris J,1,66.0,90,0,0,,
Silk Sonic (Bruno Mars & Anderson .Paak),1,28.28,984,0,0,,
Summer Walker Featuring A Boogie wit da Hoodie,0,68.0,1,0,0,,
Shaggy Featuring Janet,1,85.53,135,0,0,,
Jay Ferguson,2,44.43,334,0,0,,
Gesaffelstein & The Weeknd,0,45.0,20,0,0,,
Jellyfish,0,79.13,35,0,0,,
Meek Mill Featuring Tory Lanez,0,75.5,9,0,0,,
Rev. Martin Luther King| Jr.,0,90.5,9,0,0,,
Daya,1,51.35,674,0,0,,
HARDY Featuring Lauren Alaina & Devin Dawson,0,65.84,315,0,0,,
Amanda Perez,1,56.92,344,0,0,,
El Alfa x Peso Pluma,0,76.0,2,0,0,,
Vesta,0,66.88,35,0,0,,
Deliverance,0,78.6,14,0,0,,
Metro Boomin & A$AP Rocky Featuring TakeOff,0,59.0,1,0,0,,
French Montana Featuring Nicki Minaj,0,94.86,22,0,0,,
Aurra,0,80.86,27,0,0,,
Steve Carlisle,1,76.7,54,0,0,,
Glenn Shorrock,0,81.0,20,0,0,,
Lonnie Mack,2,46.96,148,0,0,,
Trippie Redd & Don Toliver,0,92.0,1,0,0,,
Sandee,0,72.27,65,0,0,,
Amine,1,29.54,405,0,0,,
The Fontane Sisters,0,94.0,1,0,0,,
Lita Ford (Duet With Ozzy Osbourne),0,43.2,324,0,0,,
Joe Budden Featuring Lil Wayne & Tank,0,96.0,1,0,0,,
Offset & Don Toliver,1,95.0,28,0,0,,
Hayley Mills and Hayley Mills,0,29.71,104,0,0,,
T.W.D.Y. Featuring Too Short & Mac Mall,0,96.0,135,0,0,,
The Four Lads,1,66.73,151,0,0,,
Judy Clay & William Bell,0,76.67,20,0,0,,
Neil Young & Graham Nash,0,67.33,20,0,0,,
The Klowns,0,95.0,2,0,0,,
Spin,0,95.0,2,0,0,,
Normani,0,60.8,54,0,0,,
Fever Tree,0,91.67,16,0,0,,
Pop Smoke Featuring Quavo & Future,0,54.0,1,0,0,,
Riff,1,67.13,127,0,0,,
Portrait,3,43.71,289,0,0,,
The Artistics,1,70.75,74,0,0,,
The Trumpeteers,0,74.0,44,0,0,,
Sophia Grace,0,87.0,1,0,0,,
Lil' Zane Featuring 112,0,57.92,90,0,0,,
The Braids,1,59.76,152,0,0,,
Ariana Grande Featuring Big Sean,1,88.0,33,0,0,,
Krokus,2,79.38,47,0,0,,
The Swingin' Medallions,0,81.4,14,0,0,,
John Barry and His Orchestra,0,77.33,5,0,0,,
Happy Mondays,0,72.7,54,0,0,,
Moments,4,56.35,162,0,0,,
Arcangel x Sech,0,87.67,1,0,0,,
Gucci Mane Featuring Kodak Black & London On Da Track,0,100.0,1,0,0,,
Aaron Hall,7,46.33,545,0,0,,
John Kay,0,63.57,27,0,0,,
David Blue,0,95.75,9,0,0,,
Rufus And Chaka Khan,5,54.15,308,0,0,,
RAYE Featuring 070 Shake,1,37.35,275,0,0,,
Cracker,0,81.38,90,0,0,,
Kissing The Pink,0,92.2,14,0,0,,
Robert Gordon,0,83.0,9,0,0,,
Jimmy Beck & His Orchestra,0,91.0,2,0,0,,
V V Brown,0,80.67,20,0,0,,
Minor Detail,0,93.5,2,0,0,,
Steppenwolf,6,47.2,587,0,0,,
Britney Spears Featuring Tinashe,0,86.0,1,0,0,,
Ultimate,0,86.33,5,0,0,,
Jennifer Lopez & Lin-Manuel Miranda,0,72.0,1,0,0,,
Mark Chesnutt,4,51.68,274,0,0,,
Ray Charles & Betty Carter,0,92.5,2,0,0,,
Field Mob,1,47.65,209,0,0,,
MC Eiht,0,80.0,35,0,0,,
Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra,67,33.2,603,0,0,,
Lil Wayne Featuring Shanell AKA SNL,1,69.08,65,0,0,,
Noel,1,70.37,287,0,0,,
The Impalas,0,44.7,184,0,0,,
Donny Hathaway,55,70.82,116,0,0,,
Ray J & Yung Berg,0,17.5,350,0,0,,
L.A. Guns,2,68.24,317,0,0,,
The Village Soul Choir,0,71.8,54,0,0,,
Lil Wayne & 2 Chainz,0,93.0,1,0,0,,
Chase Matthew,1,82.4,9,0,0,,
The Vogues,4,40.44,561,0,0,,
Florida Georgia Line,8,57.22,2824,0,0,,
The Postal Service,0,82.0,1,0,0,,
Miranda Lambert Duet With Carrie Underwood,0,56.1,209,0,0,,
New Found Glory,0,90.83,20,0,0,,
Bourgeois Tagg,2,66.78,206,0,0,,
Karen Nelson And Billy T,0,80.75,9,0,0,,
SZA| The Weeknd & Travis Scott,0,91.0,2,0,0,,
Al DeLory,0,74.92,66,0,0,,
Machine Gun Kelly & Halsey,0,79.0,2,0,0,,
Planet Soul Featuring Brenda Dee,0,85.2,44,0,0,,
Elton John & Dua Lipa,1,25.4,1375,0,0,,
The Isley Brothers Featuring Angela Winbush,1,67.11,170,0,0,,
3OH!3 Featuring Neon Hitch,0,89.0,1,0,0,,
DJ Khaled Featuring SZA,0,57.62,90,0,0,,
Mariah the Scientist,0,38.6,299,0,0,,
Nickey DeMatteo,0,92.5,2,0,0,,
Genius/GZA Featuring Method Man,0,78.92,90,0,0,,
Akon Featuring Sweet Rush,0,97.0,1,0,0,,
Bobby Pinson,0,93.43,27,0,0,,
Drafi,0,88.67,5,0,0,,
Lunar Funk,0,78.0,35,0,0,,
Ben Rector,0,85.6,14,0,0,,
Gene Pitney,9,44.54,1328,0,0,0.5655,0.593
A$AP Rocky Featuring ScHoolboy Q,0,88.5,2,0,0,,
Larry Groce,0,33.47,119,0,0,,
The Dells,12,56.59,860,0,0,,
Fridayy & Meek Mill,0,87.0,1,0,0,,
RZA Feat. Method Man & Cappadonna,0,75.58,77,0,0,,
The King Pins,0,90.0,2,0,0,,
Lauv & Troye Sivan,0,85.67,18,0,0,,
Kenya Grace,1,61.0,230,0,0,,
Jeremih Featuring 50 Cent,1,30.15,560,0,0,,
Orpheus,0,87.6,32,0,0,,
Keith Urban Featuring Carrie Underwood,1,62.04,250,0,0,,
The Melodeers,0,72.5,2,0,0,,
Donna Allen,0,48.44,170,0,0,,
42 Dugg & Roddy Ricch,0,85.79,93,0,0,0.394,0.781
Nino & The Ebb Tides,0,66.4,14,0,0,,
Demi Lovato Featuring Jonas Brothers,0,100.0,1,0,0,,
Whitney Houston & Deborah Cox,0,76.11,44,0,0,,
Britney Spears Featuring G-Eazy,0,46.0,44,0,0,,
Keyshia Cole Featuring Missy Elliott & Lil Kim,0,29.13,275,0,0,,
Sparks,0,77.0,27,0,0,,
Hannah Montana,4,72.02,106,0,0,,
Beyonce & Post Malone,0,41.5,2,0,0,,
Dale Wright And The Wright Guys With the Dons,0,82.0,14,0,0,,
Charlie Puth Featuring Selena Gomez,0,32.42,297,0,0,,
Lil Yachty Featuring Playboi Carti,0,98.0,1,0,0,,
The Ides Of March,5,56.74,162,0,0,,
The Chordettes,2,49.3,147,0,0,,
Lil' Kim Featuring Puff Daddy,1,32.2,209,0,0,,
Kathy Dalton,0,78.4,14,0,0,,
Ed Sheeran Featuring Eminem & 50 Cent,0,57.0,1,0,0,,
Dorothy Collins,1,68.92,59,0,0,,
Becky G,1,45.17,212,0,0,,
Jesse McCartney Featuring Ludacris,0,44.45,209,0,0,,
Delinquent Habits,0,57.3,209,0,0,,
Zac Efron & Vanessa Hudgens,0,99.0,2,0,0,,
Ray Anthony and His Orchestra,1,32.78,152,0,0,,
Channel Live,0,65.92,77,0,0,,
Britney Spears Featuring Nicki Minaj & Ke$ha,0,18.13,299,0,0,,
Busta Rhymes Featuring Eminem,0,94.0,1,0,0,,
Stacy Lattisaw,7,60.38,696,0,0,,
Mazzy Star,1,61.5,209,0,0,,
David Lasley,0,56.6,54,0,0,,
Brantley Gilbert + Lindsay Ell,0,80.14,100,0,0,,
Gloria Estefan & Miami Sound Machine,1,38.22,956,0,0,0.765,0.522
The Inmates,1,70.6,54,0,0,,
C.C. & Company,1,95.88,35,0,0,,
John Rich Featuring The Five,0,91.0,1,0,0,,
OG Maco Featuring 2 Chainz,0,94.5,9,0,0,,
Beyonce Featuring Jay Z,11,34.15,862,0,0,,
Mario Vazquez,0,57.6,207,0,0,,
Moneybagg Yo Featuring Future,0,59.0,1,0,0,,
Lupe Fiasco Featuring MDMA,0,70.0,1,0,0,,
The Roc Project Featuring Tina Arena,0,98.4,11,0,0,,
The Peppermint Rainbow,0,62.64,100,0,0,,
Xscape Featuring MC Lyte,0,65.94,135,0,0,,
The Family,0,73.5,20,0,0,,
New Radicals,1,54.95,189,0,0,,
Jack Ingram,3,82.82,187,0,0,,
Tiesto,7,76.07,180,0,0,,
BossMan Dlow & Lil Baby,0,86.0,1,0,0,,
Peter Murphy,0,71.22,44,0,0,,
Vanessa Williams/Brian McKnight,0,28.79,405,0,0,,
Imajin Featuring Keith Murray,0,50.5,209,0,0,,
D-Mob Introducing Cathy Dennis,1,42.71,230,0,0,,
Brainstorm,0,87.33,5,0,0,,
Ace of Base,5,29.29,2813,0,0,,
Ugly Kid Joe,1,36.33,418,0,0,,
PC Quest,0,68.65,184,0,0,,
Bert Kaempfert And His Orchestra,6,51.63,504,0,0,,
Ludacris & Field Mob Featuring Jamie Foxx,1,61.11,44,0,0,,
Qkumba Zoo,0,83.14,27,0,0,,
Lloyd Featuring Andre 3000 & Lil Wayne,0,84.8,14,0,0,,
Lil Tecca & Kodak Black,0,88.0,1,0,0,,
City High Featuring Eve,1,30.25,299,0,0,,
jessie murph & Jelly Roll,1,52.11,702,0,0,,
Billy Edd Wheeler,1,73.57,27,0,0,,
Clarence Reid,5,55.18,54,0,0,,
Paul Revere & The Raiders,6,44.19,143,0,0,,
The Crazy World Of Arthur Brown,0,19.08,90,0,0,,
Sunny Sweeney,0,83.0,77,0,0,,
